Record,style,red,green,blue
1,minimal,192,187,184
2,minimal,188,190,187
3,minimal,179,174,168
4,minimal,190,187,182
5,minimal,187,186,182
6,minimal,200,189,183
7,minimal,190,182,171
8,minimal,177,176,174
9,minimal,214,207,191
10,minimal,208,205,200
11,moroccan ,251,164,121
12,moroccan ,215,114,34
13,moroccan ,174,78,56
14,moroccan ,203,88,81
15,moroccan ,159,56,41
16,moroccan ,232,131,54
17,moroccan ,210,101,34
18,moroccan ,255,122,113
19,moroccan ,236,139,132
20,moroccan ,188,90,51
21,moroccan ,236,150,89
22,moroccan ,222,59,40
23,moroccan ,244,81,40
24,Loft,131,125,129
25,Loft,170,159,163
26,Loft,155,161,166
27,Loft,131,138,130
28,Loft,146,155,150
29,Loft,114,118,117
30,Loft,140,124,116
31,Loft,131,130,135
32,Loft,119,111,108
33,Loft,156,156,157
34,vintage,130,85,57
35,vintage,183,151,109
36,vintage,200,195,189
37,vintage,226,226,229
38,vintage,122,109,80
39,vintage,144,127,106
40,vintage,107,91,76
41,vintage,114,102,84
42,vintage,111,77,56
43,vintage,165,122,89
44,colorful,192,172,111
45,colorful,193,168,101
46,colorful,204,181,114
47,colorful,187,168,110
48,colorful,187,159,75
49,colorful,178,130,64
50,colorful,186,144,72
51,colorful,200,173,102
52,colorful,200,166,82
53,colorful,211,178,97
54,modern,102,101,99
55,modern,102,105,111
56,modern,175,178,180
57,modern,143,147,151
58,modern,186,186,197
59,modern,126,134,135
60,modern,167,162,166
61,modern,199,202,208
62,modern,93,88,91
63,modern,152,152,165
64,contemporary,72,73,77
65,contemporary,39,41,45
66,contemporary,62,56,51
67,contemporary,83,75,71
68,contemporary,96,87,84
69,scandinavian ,204,202,200
70,scandinavian ,230,228,226
71,scandinavian ,212,212,205
72,scandinavian ,202,180,165
73,scandinavian ,212,204,199
74,Natural,180,163,145
75,Natural,210,178,129
76,Natural,178,141,112
77,Natural,215,174,130
78,Natural,218,199,184
79,Natural,223,202,185
80,Natural,211,186,156
81,Natural,231,206,184
82,Natural,222,188,149
83,Natural,224,211,195
