iter	Passed	Remaining
0	0	369
1	0	341
2	0	295
3	1	293
4	1	277
5	1	280
6	1	274
7	2	269
8	2	260
9	2	256
10	2	250
11	3	250
12	3	250
13	3	246
14	3	244
15	3	238
16	4	240
17	4	238
18	4	238
19	4	239
20	5	238
21	5	233
22	5	231
23	5	233
24	6	235
25	6	235
26	6	236
27	6	238
28	7	236
29	7	236
30	7	236
31	7	236
32	8	236
33	8	237
34	8	237
35	8	237
36	9	236
37	9	234
38	9	234
39	9	234
40	9	233
41	10	233
42	10	233
43	11	245
44	11	246
45	11	246
46	12	247
47	12	245
48	12	244
49	12	245
50	13	245
51	13	246
52	13	245
53	14	245
54	14	245
55	14	245
56	14	246
57	15	245
58	15	243
59	15	242
60	15	242
61	15	241
62	16	240
63	16	241
64	16	241
65	17	241
66	17	242
67	17	241
68	17	241
69	18	241
70	18	240
71	18	240
72	18	240
73	19	241
74	19	239
75	19	239
76	19	238
77	20	238
78	20	238
79	20	238
80	20	237
81	21	237
82	21	236
83	21	235
84	21	235
85	22	235
86	22	234
87	22	234
88	22	233
89	22	232
90	23	231
91	23	230
92	23	230
93	23	230
94	24	228
95	24	227
96	24	227
97	24	227
98	24	227
99	25	226
100	25	226
101	25	226
102	25	225
103	26	225
104	26	225
105	26	224
106	26	223
107	26	222
108	27	222
109	27	222
110	27	221
111	27	221
112	28	221
113	28	221
114	28	220
115	28	220
116	29	219
117	29	219
118	29	218
119	29	217
120	29	217
121	30	216
122	30	216
123	30	216
124	30	215
125	31	215
126	31	214
127	31	214
128	31	214
129	31	214
130	32	213
131	32	213
132	32	213
133	32	212
134	33	212
135	33	212
136	33	211
137	33	211
138	34	211
139	34	210
140	34	210
141	34	210
142	35	210
143	35	209
144	35	210
145	35	209
146	36	209
147	36	209
148	36	208
149	36	207
150	36	207
151	37	207
152	37	206
153	37	206
154	37	206
155	38	206
156	38	205
157	38	204
158	38	204
159	38	204
160	39	203
161	39	203
162	39	203
163	39	203
164	40	203
165	40	202
166	40	202
167	40	202
168	41	202
169	41	201
170	41	201
171	41	201
172	42	201
173	42	201
174	42	200
175	42	200
176	43	200
177	43	200
178	43	200
179	43	199
180	44	199
181	44	199
182	44	199
183	44	199
184	45	199
185	45	198
186	45	198
187	45	198
188	46	198
189	46	197
190	46	197
191	46	197
192	47	197
193	47	197
194	47	197
195	47	196
196	48	197
197	48	197
198	48	196
199	49	196
200	49	196
201	49	196
202	49	195
203	50	196
204	50	195
205	50	195
206	51	195
207	51	195
208	51	194
209	51	194
210	51	194
211	52	194
212	52	194
213	52	193
214	53	193
215	53	193
216	53	193
217	53	192
218	53	192
219	54	192
220	54	192
221	54	191
222	55	191
223	55	191
224	55	191
225	55	191
226	56	190
227	56	190
228	56	190
229	56	189
230	56	189
231	57	189
232	57	189
233	57	188
234	57	188
235	58	188
236	58	188
237	58	187
238	58	187
239	59	187
240	59	186
241	59	186
242	59	186
243	60	186
244	60	186
245	60	185
246	60	185
247	61	185
248	61	185
249	61	185
250	61	184
251	62	184
252	62	184
253	62	184
254	63	184
255	63	184
256	63	183
257	63	183
258	64	183
259	64	183
260	64	182
261	64	182
262	65	182
263	65	182
264	65	182
265	65	181
266	66	181
267	66	181
268	66	181
269	66	180
270	67	180
271	67	180
272	67	180
273	67	179
274	68	179
275	68	179
276	68	179
277	68	179
278	69	178
279	69	178
280	69	178
281	70	178
282	70	179
283	71	179
284	71	179
285	71	178
286	71	178
287	72	178
288	72	178
289	72	177
290	72	177
291	73	177
292	73	177
293	73	177
294	74	176
295	74	176
296	74	176
297	74	176
298	75	176
299	75	175
300	75	175
301	75	175
302	76	174
303	76	174
304	76	174
305	76	174
306	77	174
307	77	173
308	77	173
309	77	173
310	78	173
311	78	173
312	78	172
313	78	172
314	79	172
315	79	172
316	79	171
317	80	171
318	80	171
319	80	171
320	80	170
321	81	170
322	81	170
323	81	170
324	81	169
325	82	169
326	82	169
327	82	169
328	82	168
329	83	168
330	83	168
331	83	168
332	83	168
333	84	167
334	84	167
335	84	167
336	84	167
337	85	166
338	85	166
339	85	166
340	86	166
341	86	166
342	86	165
343	86	165
344	87	165
345	87	165
346	87	164
347	87	164
348	88	164
349	88	164
350	88	163
351	88	163
352	89	163
353	89	163
354	89	162
355	89	162
356	90	162
357	90	162
358	90	162
359	91	161
360	91	161
361	91	161
362	91	161
363	92	160
364	92	160
365	92	160
366	92	160
367	93	159
368	93	159
369	93	159
370	93	159
371	94	159
372	94	158
373	94	158
374	94	158
375	95	158
376	95	157
377	95	157
378	95	157
379	96	157
380	96	156
381	96	156
382	97	156
383	97	156
384	97	155
385	97	155
386	98	155
387	98	155
388	98	154
389	98	154
390	99	154
391	99	154
392	99	154
393	100	153
394	100	153
395	100	153
396	100	153
397	101	152
398	101	152
399	101	152
400	101	152
401	102	152
402	102	151
403	102	151
404	102	151
405	103	151
406	103	150
407	103	150
408	103	150
409	104	150
410	104	149
411	104	149
412	105	149
413	105	149
414	105	148
415	105	148
416	106	148
417	106	148
418	106	147
419	106	147
420	107	147
421	107	147
422	107	146
423	107	146
424	108	146
425	108	146
426	108	145
427	108	145
428	109	145
429	109	145
430	109	144
431	109	144
432	110	144
433	110	144
434	110	143
435	111	143
436	111	143
437	111	143
438	111	142
439	112	142
440	112	142
441	112	142
442	112	141
443	113	141
444	113	141
445	113	141
446	113	140
447	114	140
448	114	140
449	114	140
450	114	139
451	115	139
452	115	139
453	115	139
454	115	138
455	116	138
456	116	138
457	116	138
458	116	137
459	117	137
460	117	137
461	117	137
462	118	136
463	118	136
464	118	136
465	118	136
466	119	135
467	119	135
468	119	135
469	119	135
470	120	134
471	120	134
472	120	134
473	120	134
474	121	133
475	121	133
476	121	133
477	121	133
478	122	132
479	122	132
480	122	132
481	123	132
482	123	132
483	123	131
484	123	131
485	124	131
486	124	131
487	124	131
488	125	130
489	125	130
490	125	130
491	125	130
492	126	129
493	126	129
494	126	129
495	127	129
496	127	128
497	127	128
498	127	128
499	128	128
500	128	127
501	128	127
502	128	127
503	129	127
504	129	126
505	129	126
506	129	126
507	130	126
508	130	125
509	130	125
510	130	125
511	131	125
512	131	124
513	131	124
514	131	124
515	132	124
516	132	123
517	132	123
518	132	123
519	133	122
520	133	122
521	133	122
522	133	122
523	134	121
524	134	121
525	134	121
526	135	121
527	135	121
528	135	120
529	135	120
530	136	120
531	136	120
532	136	119
533	136	119
534	137	119
535	137	118
536	137	118
537	137	118
538	138	118
539	138	117
540	138	117
541	138	117
542	139	117
543	139	116
544	139	116
545	139	116
546	140	116
547	140	115
548	140	115
549	141	115
550	141	115
551	141	114
552	141	114
553	142	114
554	142	114
555	142	113
556	142	113
557	143	113
558	143	113
559	143	112
560	143	112
561	144	112
562	144	112
563	144	111
564	144	111
565	145	111
566	145	111
567	145	110
568	146	110
569	146	110
570	146	110
571	146	109
572	147	109
573	147	109
574	147	109
575	147	108
576	148	108
577	148	108
578	148	108
579	149	107
580	149	107
581	149	107
582	149	107
583	150	106
584	150	106
585	150	106
586	151	106
587	151	105
588	151	105
589	151	105
590	152	105
591	152	104
592	152	104
593	152	104
594	153	104
595	153	103
596	153	103
597	153	103
598	154	103
599	154	102
600	154	102
601	154	102
602	155	102
603	155	101
604	155	101
605	155	101
606	156	101
607	156	100
608	156	100
609	156	100
610	157	100
611	157	99
612	157	99
613	157	99
614	158	98
615	158	98
616	158	98
617	158	98
618	159	97
619	159	97
620	159	97
621	159	97
622	160	97
623	161	97
624	161	96
625	161	96
626	161	96
627	162	96
628	162	95
629	162	95
630	162	95
631	163	94
632	163	94
633	163	94
634	163	94
635	164	93
636	164	93
637	164	93
638	164	93
639	165	92
640	165	92
641	165	92
642	165	92
643	166	91
644	166	91
645	166	91
646	167	91
647	167	90
648	167	90
649	167	90
650	168	90
651	168	89
652	168	89
653	168	89
654	169	89
655	169	88
656	169	88
657	169	88
658	170	88
659	170	87
660	170	87
661	170	87
662	171	87
663	171	86
664	171	86
665	171	86
666	172	86
667	172	85
668	172	85
669	173	85
670	173	84
671	173	84
672	173	84
673	174	84
674	174	83
675	174	83
676	174	83
677	175	83
678	175	82
679	175	82
680	175	82
681	176	82
682	176	81
683	176	81
684	176	81
685	177	81
686	177	80
687	177	80
688	177	80
689	178	80
690	178	79
691	178	79
692	178	79
693	179	78
694	179	78
695	179	78
696	179	78
697	180	77
698	180	77
699	180	77
700	180	77
701	181	76
702	181	76
703	181	76
704	181	76
705	182	75
706	182	75
707	182	75
708	182	75
709	183	74
710	183	74
711	183	74
712	183	74
713	184	73
714	184	73
715	184	73
716	184	72
717	185	72
718	185	72
719	185	72
720	185	71
721	186	71
722	186	71
723	186	71
724	186	70
725	186	70
726	187	70
727	187	70
728	187	69
729	188	69
730	188	69
731	188	69
732	188	68
733	189	68
734	189	68
735	189	67
736	189	67
737	190	67
738	190	67
739	190	66
740	190	66
741	191	66
742	191	66
743	191	65
744	191	65
745	192	65
746	192	65
747	192	64
748	192	64
749	193	64
750	193	64
751	193	63
752	193	63
753	194	63
754	194	63
755	194	62
756	194	62
757	195	62
758	195	62
759	195	61
760	195	61
761	196	61
762	196	61
763	196	60
764	196	60
765	197	60
766	197	59
767	197	59
768	197	59
769	198	59
770	198	58
771	198	58
772	199	58
773	199	58
774	199	57
775	199	57
776	200	57
777	200	57
778	200	56
779	200	56
780	201	56
781	201	56
782	201	55
783	201	55
784	202	55
785	202	55
786	202	54
787	202	54
788	203	54
789	203	54
790	203	53
791	203	53
792	204	53
793	204	53
794	204	52
795	204	52
796	205	52
797	205	51
798	205	51
799	205	51
800	206	51
801	206	50
802	206	50
803	206	50
804	207	50
805	207	49
806	207	49
807	207	49
808	208	49
809	208	48
810	208	48
